2022-06-14 11:46:04,755 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:04,885 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:05,005 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:05,129 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:05,249 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=1, number='C111', maxCountOfPassengers=70, startTime='05.00', endTime='20.00'}
2022-06-14 11:46:05,389 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=2, number='C342', maxCountOfPassengers=70, startTime='06.00', endTime='20.00'}
2022-06-14 11:46:05,510 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=2, number='C342', maxCountOfPassengers=70, startTime='06.00', endTime='20.00'}
2022-06-14 11:46:05,639 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=2, number='C342', maxCountOfPassengers=70, startTime='06.00', endTime='20.00'}
2022-06-14 11:46:05,770 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=3, number='C525', maxCountOfPassengers=70, startTime='08.00', endTime='17.00'}
2022-06-14 11:46:05,900 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=3, number='C525', maxCountOfPassengers=70, startTime='08.00', endTime='17.00'}
2022-06-14 11:46:06,029 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=3, number='C525', maxCountOfPassengers=70, startTime='08.00', endTime='17.00'}
2022-06-14 11:46:06,152 INFO n.d.i.BusDAO [main] Bus was found by idBus{id=3, number='C525', maxCountOfPassengers=70, startTime='08.00', endTime='17.00'}
